"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28"
"K11";"01";"";"1744002";"";"";"";"";"";"";"";"CH120003010607";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1647006";"";"";"";"";"";"";"19980721";"CH120003160449";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1512090";"";"";"";"";"1533705";"";"19991223";"CH120002968046";"FT";"2";"";"";"";"";"";"";"";"35";"";"";"";"";"";"0"
"K11";"01";"";"1142389";"";"";"";"";"1135398";"";"20000308";"CH120000494851";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1759198";"";"";"";"";"1759198";"";"19991201";"CH120000460504";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1333602";"";"";"";"";"1333725";"";"20000324";"CH120000433249";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1652796";"";"";"";"";"";"";"19981215";"CH120000676646";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1856026";"";"";"";"";"1582383";"";"20001231";"CH120000621257";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1288513";"";"";"";"";"1288513";"";"20010113";"CH120000400005";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1123562";"";"";"";"";"1132960";"";"20000217";"CH120000542170";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1266207";"";"";"";"";"";"";"19991001";"CH120000528471";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1253054";"";"";"";"";"1253078";"";"20000407";"CH120000581148";"BR";"2";"2";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1419887";"";"";"";"";"";"";"19991001";"CH120000626122";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1652796";"";"";"";"";"1652796";"";"20000207";"CH120000676615";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1734386";"";"";"";"";"1736946";"";"20000131";"CH120000497395";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"2015569";"";"";"";"";"1502367";"";"20000331";"CH120000498521";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1392067";"";"";"";"";"1392067";"";"19990919";"CH120000627358";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1522723";"";"";"";"";"1522723";"";"20000701";"CH120003778224";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1525298";"";"";"";"";"1525298";"";"20000803";"CH120003779238";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1525298";"";"";"";"";"1525298";"";"20000915";"CH120003779320";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1339284";"";"";"";"";"1339284";"";"20000409";"CH120003782054";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1769791";"";"";"";"";"1524000";"";"20000817";"CH120003802134";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1716399";"";"";"";"";"1716399";"";"19991209";"CH120003809867";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1515855";"";"";"";"";"1515855";"";"20000210";"CH120004007903";"FT";"2";"";"";"";"";"";"";"";"50";"";"";"";"";"";"0"
"K11";"01";"";"1515855";"";"";"";"";"1515855";"";"20000912";"CH120004008047";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1316889";"";"";"";"";"1316889";"";"20001019";"CH120003843816";"FT";"2";"";"";"";"";"";"";"";"50";"";"";"";"";"";"0"
"K11";"01";"";"1818529";"";"";"";"";"1436099";"";"20000920";"CH120004017087";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1728699";"";"";"";"";"1814927";"";"20001120";"CH120003846800";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1531497";"";"";"";"";"1515831";"";"20000104";"CH120004007637";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1378764";"";"";"";"";"1678499";"";"20000621";"CH120003844332";"FT";"2";"";"";"";"";"";"";"";"45";"";"";"";"";"";"0"
"K11";"01";"";"1329568";"";"";"";"";"1792133";"";"20000813";"CH120003927998";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1263510";"CH110477063834";"BR";"";"";"1650679";"";"20001028";"CH120005831743";"BR";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1479546";"";"";"";"";"";"";"19991001";"CH120006380080";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1289817";"";"";"";"";"1289817";"";"20001221";"CH120006419001";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
